Robot R at (10, 1) performed actions.
Robot t at (1, 13) performed actions.
Robot B at (3, 4) performed actions.
Robot M at (4, 5) performed actions.
Robot K at (3, 6) performed actions.
Robot R at (9, 7) performed actions.
Robot t at (1, 13) performed actions.
Robot B at (3, 4) performed actions.
Robot M at (4, 5) performed actions.
Robot K at (3, 6) performed actions.
Robot R at (8, 7) performed actions.
Robot R at (8, 7) performed actions.
Robot t at (8, 4) performed actions.
Robot B at (3, 4) performed actions.
Robot M at (4, 5) performed actions.
Robot K at (3, 6) performed actions.
Robot R at (8, 7) performed actions.
Robot T at (8, 4) performed actions.
Robot R at (7, 7) performed actions.
Robot T at (8, 4) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (4, 5) performed actions.
Robot K at (3, 6) performed actions.
Robot R at (7, 8) performed actions.
Robot T at (8, 4) performed actions.
Robot B at (2, 6) performed actions.
Robot R at (8, 9) performed actions.
Robot T at (8, 4) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (3, 6) performed actions.
Robot R at (7, 10) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot R at (7, 10) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (6, 9) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (7, 8) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (7, 7) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (7, 6) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (8, 6) performed actions.
Robot T at (8, 3) performed actions.
Robot B at (2, 6) performed actions.
Robot M at (8, 3) performed actions.
Robot K at (9, 14) performed actions.
Robot R at (8, 7) performed actions.
Robot T at (8, 3) performed actions.
